proj_name,proj_time,1,2,3,4,5,6,7,8,9,10,11,12,split
项目名称00001,2021-11-17-2022-02-18,17058.21,40828.12,53791.41,58780.28,60423.14,81239.75,82275.77,82955.21,84528.74,85945.03,86356.16,86396.3,0
项目名称00002,2021-11-16-2022-02-18,433.37,4181.43,6963.38,9593.12,12393.34,14330.36,16747.79,19312.23,21176.4,22734.28,24562.36,25569.13,0
项目名称00003,2021-11-10-2022-02-10,1614.35,4312.48,7864.91,14425.82,20989.8,22655.03,24841.7,32024.29,34612.73,36155.61,50703.12,53300.17,0
项目名称00004,2021-11-09-2022-02-18,577.81,3336,6180.21,8275.59,10087.23,13237.75,13237.85,13238.85,13255.46,13256.06,13262.08,13311.52,0
项目名称00005,2021-11-09-2022-02-18,522.03,8421.93,118721.44,129435.53,139850.96,153839.65,162210.52,165891.93,174268,179206.83,183855.73,189057.57,0
项目名称00006,2021-11-15-2022-02-18,813.95,5131.01,14059.86,19605.27,24201.93,28680.8,32924.01,39369.19,45693.19,48603.86,55703.15,58583.61,0
项目名称00007,2021-11-14-2022-02-17,5245.01,25878.69,37599.58,46491.37,56019.68,67681.35,75111.7,83734.63,94123.97,102772.57,118427.22,127533.25,0
项目名称00008,2021-11-12-2022-02-15,14648.18,22419.54,30432.35,35118.31,39371.8,43077.49,49282.53,53529.13,57966.34,59759.48,66099.46,71282.08,0
项目名称00009,2021-11-12-2022-02-17,51343.11,67274.46,70349.75,72117.73,74480.85,129677.72,132761.25,136003,137516.13,139271.28,142576.75,143417.71,0
项目名称00010,2021-11-04-2022-02-18,269.74,1920.91,4351.66,11611.52,72341.13,76183.23,78841.53,82143.6,85233.46,87612.38,92605.5,94288.94,0
项目名称00011,2021-11-03-2022-02-11,13456.51,19702.08,28966.29,38898.79,42941.23,47431.24,51588.87,54950.1,64930.89,68176.7,73773.96,81201.78,0
项目名称00012,2021-11-03-2022-02-19,271.52,1795.1,5321.47,11871.36,18275,20057.02,20070.25,32224.49,38155.05,39774.78,52373.75,53370.48,0
项目名称00013,2021-11-02-2022-02-02,15084.09,38658.05,44359.72,49959.57,57683.76,60667.99,64285.79,67485.33,70619.97,72923.53,78498.95,83079.63,0
项目名称00014,2021-11-01-2022-02-01,7940.36,11224.69,14921.19,19425.53,24077.27,27008.35,30307.08,34131.55,38630.1,46229.58,49966.39,53032.16,0
项目名称00015,2021-11-16-2022-02-18,1297.38,5666.21,21060.15,36939.76,47054.11,51089.54,65233.94,71350.8,96072.13,100615.74,113032.32,117902.63,0
项目名称00016,2021-11-16-2022-02-18,2054.84,25113.1,48042.21,69817.96,77837.5,87816.32,108541.34,117290.36,137421.97,152387.97,164137.67,182813.32,0
项目名称00017,2021-11-12-2022-02-16,27778.29,53339.19,71210.55,76826.15,83072.71,88693.54,96317.15,99745.35,104097.73,107550.05,116186.58,121339.39,0
